Event,Event type,Speaker?,Finalized,Date,Day of Week,Time,Location,Location Booked?,Event Leader(s),Event Description,Target audience(s),Need to have Lab Students attend?,Need Faculty to attend?,Notes,Co-Run w/Other Club?,Name of Other Potential Funders?,Budget,Budget Submitted?,Food,Food Ordered?,Prizes + Price,Link to Prizes,Total,Budget Spent,Left-Over Budget
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
,,,FALSE,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,
